name,repo_name,rubric_1,rubric_1_feedback,rubric_2,rubric_2_feedback,rubric_3,rubric_3_feedback,rubric_4,rubric_4_feedback,rubric_5,rubric_5_feedback,rubric_6,rubric_6_feedback,rubric_7,rubric_7_feedback,rubric_8,rubric_8_feedback,rubric_9,rubric_9_feedback,total_score,pass
emran2602,lab-1-collaborative-software-development-20242510-emran2602,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
brennanb2025,lab-1-collaborative-software-development-20242510-brennanb2025,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,9,True
adampchen,lab-1-collaborative-software-development-20242510-adampchen,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,0,Please submit reflections.md in the repo.,7,False
arojas1234,lab-1-collaborative-software-development-20242510-arojas1234,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,0,Please submit reflections.md in the repo.,7,False
Jiho1211,lab-1-collaborative-software-development-20242510-Jiho1211,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,0,Incorrect Contributors format. Refer to page 22 in the instruction pdf.,0,Please submit reflections.md in the repo.,6,False
Annie-LAN,lab-1-collaborative-software-development-20242510-Annie-LAN,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
hyunbinjlee,lab-1-collaborative-software-development-20242510-hyunbinjlee,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
Liuabi520,lab-1-collaborative-software-development-20242510-Liuabi520,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,9,True
clementkubica,lab-1-collaborative-software-development-20242510-clementkubica,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
LianhaoZ,lab-1-collaborative-software-development-20242510-LianhaoZ,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
Jingze123,lab-1-collaborative-software-development-20242510-Jingze123,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
tigranb2,lab-1-collaborative-software-development-20242510-tigranb2,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
shutj3,lab-1-collaborative-software-development-20242510-shutj3,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,9,True
bspinrad,lab-1-collaborative-software-development-20242510-bspinrad,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
robertyang13,lab-1-collaborative-software-development-20242510-robertyang13,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
AnnaRoseJones,lab-1-collaborative-software-development-20242510-AnnaRoseJones,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
Adrian-DH,lab-1-collaborative-software-development-20242510-Adrian-DH,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,0,Please submit reflections.md in the repo.,7,False
hanniavalera,lab-1-collaborative-software-development-20242510-hanniavalera,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,0,Incorrect Contributors format. Refer to page 22 in the instruction pdf.,1,Pass,7,False
yjeong48,lab-1-collaborative-software-development-20242510-yjeong48,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,0,Please submit reflections.md in the repo.,7,False
heochristopher,lab-1-collaborative-software-development-20242510-heochristopher,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,0,Incorrect Contributors format. Refer to page 22 in the instruction pdf.,0,Please submit reflections.md in the repo.,6,False
ZaynMak,lab-1-collaborative-software-development-20242510-ZaynMak,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,9,True
wavi5,lab-1-collaborative-software-development-20242510-wavi5,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
Rebeccaxu0,lab-1-collaborative-software-development-20242510-Rebeccaxu0,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,0,Please submit reflections.md in the repo.,7,False
Jasonxlu,lab-1-collaborative-software-development-20242510-Jasonxlu,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,9,True
angelp03,lab-1-collaborative-software-development-20242510-angelp03,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
tinachnn,lab-1-collaborative-software-development-20242510-tinachnn,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
patrickchen8,lab-1-collaborative-software-development-20242510-patrickchen8,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,9,True
DooHwanKim0419,lab-1-collaborative-software-development-20242510-DooHwanKim0419,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,9,True
zjovy,lab-1-collaborative-software-development-20242510-zjovy,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
ryankish,lab-1-collaborative-software-development-20242510-ryankish,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,0,Please submit reflections.md in the repo.,7,False
safi1315,lab-1-collaborative-software-development-20242510-safi1315,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,0,Incorrect Contributors format. Refer to page 22 in the instruction pdf.,1,Pass,7,False
danielshamsoddini,lab-1-collaborative-software-development-20242510-danielshamsoddini,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
irenaliu18,lab-1-collaborative-software-development-20242510-irenaliu18,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
M4tthewSon99,lab-1-collaborative-software-development-20242510-M4tthewSon99,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
TheAryamanC,lab-1-collaborative-software-development-20242510-TheAryamanC,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,9,True
Juliaaaachu,lab-1-collaborative-software-development-20242510-Juliaaaachu,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
isagonzalez,lab-1-collaborative-software-development-20242510-isagonzalez,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,9,True
andrewericgao,lab-1-collaborative-software-development-20242510-andrewericgao,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
pjiang20,lab-1-collaborative-software-development-20242510-pjiang20,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,0,Please submit reflections.md in the repo.,7,False
yijizhang-nucs,lab-1-collaborative-software-development-20242510-yijizhang-nucs,0,Empty .gitignore file.,0,Incomplete .gitignore file.,1,Pass,1,Pass,1,Pass,0,No found fix-fib-test0-test5 in commit history.,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,0,Please submit reflections.md in the repo.,4,False
